Log dosyası 2025-05-08 08:30:14 tarihinde oluşturuldu.
[2025-05-08 08:30:47] [INFO] Prestashop GET-EDIT senkronizasyon başlatıldı
[2025-05-08 08:30:47] [INFO] Batch işlemi başlatılıyor: 0-200 / 3844
[2025-05-08 08:30:52] [INFO] İlerleme: 10 / 3844 ürün işlendi
[2025-05-08 08:30:58] [INFO] İlerleme: 20 / 3844 ürün işlendi
[2025-05-08 08:31:04] [INFO] İlerleme: 30 / 3844 ürün işlendi
[2025-05-08 08:31:11] [INFO] İlerleme: 40 / 3844 ürün işlendi
[2025-05-08 08:31:18] [INFO] İlerleme: 50 / 3844 ürün işlendi
[2025-05-08 08:31:25] [INFO] İlerleme: 60 / 3844 ürün işlendi
[2025-05-08 08:31:30] [INFO] İlerleme: 70 / 3844 ürün işlendi
[2025-05-08 08:31:37] [INFO] İlerleme: 80 / 3844 ürün işlendi
[2025-05-08 08:31:43] [INFO] İlerleme: 90 / 3844 ürün işlendi
[2025-05-08 08:31:48] [INFO] İlerleme: 100 / 3844 ürün işlendi
[2025-05-08 08:31:52] [INFO] İlerleme: 110 / 3844 ürün işlendi
[2025-05-08 08:31:57] [INFO] İlerleme: 120 / 3844 ürün işlendi
[2025-05-08 08:32:00] [INFO] İlerleme: 130 / 3844 ürün işlendi
[2025-05-08 08:32:05] [INFO] İlerleme: 140 / 3844 ürün işlendi
[2025-05-08 08:32:12] [INFO] İlerleme: 150 / 3844 ürün işlendi
[2025-05-08 08:32:14] [INFO] İlerleme: 160 / 3844 ürün işlendi
[2025-05-08 08:32:18] [INFO] İlerleme: 170 / 3844 ürün işlendi
[2025-05-08 08:32:22] [INFO] İlerleme: 180 / 3844 ürün işlendi
[2025-05-08 08:32:26] [INFO] İlerleme: 190 / 3844 ürün işlendi
[2025-05-08 08:32:31] [INFO] İlerleme: 200 / 3844 ürün işlendi
[2025-05-08 08:32:32] [INFO] Batch işlemi başlatılıyor: 200-400 / 3844
[2025-05-08 08:32:36] [INFO] İlerleme: 210 / 3844 ürün işlendi
[2025-05-08 08:32:41] [INFO] İlerleme: 220 / 3844 ürün işlendi
[2025-05-08 08:32:45] [INFO] İlerleme: 230 / 3844 ürün işlendi
[2025-05-08 08:32:50] [INFO] İlerleme: 240 / 3844 ürün işlendi
[2025-05-08 08:32:56] [INFO] İlerleme: 250 / 3844 ürün işlendi
[2025-05-08 08:33:03] [INFO] İlerleme: 260 / 3844 ürün işlendi
[2025-05-08 08:33:10] [INFO] İlerleme: 270 / 3844 ürün işlendi
[2025-05-08 08:33:15] [INFO] İlerleme: 280 / 3844 ürün işlendi
[2025-05-08 08:33:21] [INFO] İlerleme: 290 / 3844 ürün işlendi
[2025-05-08 08:33:29] [INFO] İlerleme: 300 / 3844 ürün işlendi
[2025-05-08 08:33:35] [INFO] İlerleme: 310 / 3844 ürün işlendi
[2025-05-08 08:33:40] [INFO] İlerleme: 320 / 3844 ürün işlendi
